group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
first_order_1,,,,,52446300.0,ns,19
first_order_1,,,,,52307800.0,ns,19
first_order_1,,,,,52513100.0,ns,19
first_order_1,,,,,51235200.0,ns,19
first_order_1,,,,,51594900.0,ns,19
first_order_1,,,,,52027900.0,ns,19
first_order_1,,,,,51574300.0,ns,19
first_order_1,,,,,51923100.0,ns,19
first_order_1,,,,,52314500.0,ns,19
first_order_1,,,,,52138600.0,ns,19
first_order_1,,,,,51362900.0,ns,19
first_order_1,,,,,53484900.0,ns,19
first_order_1,,,,,51873100.0,ns,19
first_order_1,,,,,51531600.0,ns,19
first_order_1,,,,,50427700.0,ns,19
first_order_1,,,,,50835300.0,ns,19
first_order_1,,,,,54855600.0,ns,19
first_order_1,,,,,53098100.0,ns,19
first_order_1,,,,,50838700.0,ns,19
first_order_1,,,,,51525800.0,ns,19
first_order_1,,,,,52089400.0,ns,19
first_order_1,,,,,52543000.0,ns,19
first_order_1,,,,,52941800.0,ns,19
first_order_1,,,,,52060200.0,ns,19
first_order_1,,,,,51464900.0,ns,19
first_order_1,,,,,52307200.0,ns,19
first_order_1,,,,,51292900.0,ns,19
first_order_1,,,,,50590800.0,ns,19
first_order_1,,,,,51755100.0,ns,19
first_order_1,,,,,52334100.0,ns,19
first_order_1,,,,,51626400.0,ns,19
first_order_1,,,,,51605100.0,ns,19
first_order_1,,,,,50503800.0,ns,19
first_order_1,,,,,51146900.0,ns,19
first_order_1,,,,,50351400.0,ns,19
first_order_1,,,,,51605500.0,ns,19
first_order_1,,,,,41420800.0,ns,19
first_order_1,,,,,44744200.0,ns,19
first_order_1,,,,,44840400.0,ns,19
first_order_1,,,,,45229200.0,ns,19
first_order_1,,,,,45694300.0,ns,19
first_order_1,,,,,44462300.0,ns,19
first_order_1,,,,,44667000.0,ns,19
first_order_1,,,,,46299500.0,ns,19
first_order_1,,,,,46062600.0,ns,19
first_order_1,,,,,43623800.0,ns,19
first_order_1,,,,,50102000.0,ns,19
first_order_1,,,,,49374300.0,ns,19
first_order_1,,,,,52574600.0,ns,19
first_order_1,,,,,47302000.0,ns,19
first_order_1,,,,,44300200.0,ns,19
first_order_1,,,,,45822400.0,ns,19
first_order_1,,,,,45945500.0,ns,19
first_order_1,,,,,44847600.0,ns,19
first_order_1,,,,,45618800.0,ns,19
first_order_1,,,,,46040200.0,ns,19
first_order_1,,,,,45271400.0,ns,19
first_order_1,,,,,46595800.0,ns,19
first_order_1,,,,,46099600.0,ns,19
first_order_1,,,,,47155800.0,ns,19
first_order_1,,,,,45209100.0,ns,19
first_order_1,,,,,47327400.0,ns,19
first_order_1,,,,,46212200.0,ns,19
first_order_1,,,,,45876400.0,ns,19
first_order_1,,,,,43039900.0,ns,19
first_order_1,,,,,44185200.0,ns,19
first_order_1,,,,,47726200.0,ns,19
first_order_1,,,,,50647300.0,ns,19
first_order_1,,,,,51163100.0,ns,19
first_order_1,,,,,51323700.0,ns,19
first_order_1,,,,,50634000.0,ns,19
first_order_1,,,,,39472700.0,ns,19
first_order_1,,,,,42916700.0,ns,19
first_order_1,,,,,41451000.0,ns,19
first_order_1,,,,,42195700.0,ns,19
first_order_1,,,,,41492600.0,ns,19
first_order_1,,,,,42226700.0,ns,19
first_order_1,,,,,42860100.0,ns,19
first_order_1,,,,,41379500.0,ns,19
first_order_1,,,,,42874400.0,ns,19
first_order_1,,,,,41462500.0,ns,19
first_order_1,,,,,41237600.0,ns,19
first_order_1,,,,,42853600.0,ns,19
first_order_1,,,,,42667500.0,ns,19
first_order_1,,,,,41953400.0,ns,19
first_order_1,,,,,41631100.0,ns,19
first_order_1,,,,,42095000.0,ns,19
first_order_1,,,,,42638000.0,ns,19
first_order_1,,,,,42570300.0,ns,19
first_order_1,,,,,41067900.0,ns,19
first_order_1,,,,,42255900.0,ns,19
first_order_1,,,,,41343700.0,ns,19
first_order_1,,,,,43232300.0,ns,19
first_order_1,,,,,41685000.0,ns,19
first_order_1,,,,,41151500.0,ns,19
first_order_1,,,,,43043400.0,ns,19
first_order_1,,,,,41237800.0,ns,19
first_order_1,,,,,41964600.0,ns,19
first_order_1,,,,,42100100.0,ns,19
first_order_1,,,,,41638200.0,ns,19
